kind,rank,id,model,vendor,tier,bus,class
display,1,ssd1306,SSD1306,Solomon Systech,driver_compatible,i2c,ExternalComponents.Generated.Display_SSD1306
display,2,ssd1309,SSD1309,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1309
display,3,ssd1315,SSD1315,Solomon Systech,profiled_behavioral,i2c,ExternalComponents.Generated.Display_SSD1315
display,4,ssd1316,SSD1316,Solomon Systech,profiled_behavioral,i2c,ExternalComponents.Generated.Display_SSD1316
display,5,ssd1322,SSD1322,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1322
display,6,ssd1325,SSD1325,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1325
display,7,ssd1327,SSD1327,Solomon Systech,profiled_behavioral,i2c,ExternalComponents.Generated.Display_SSD1327
display,8,ssd1329,SSD1329,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1329
display,9,ssd1331,SSD1331,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1331
display,10,ssd1351,SSD1351,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1351
display,11,sh1106,SH1106,Sino Wealth,driver_compatible,i2c,ExternalComponents.Generated.Display_SH1106
display,12,sh1107,SH1107,Sino Wealth,profiled_behavioral,i2c,ExternalComponents.Generated.Display_SH1107
display,13,sh1108,SH1108,Sino Wealth,profiled_behavioral,spi,ExternalComponents.Generated.Display_SH1108
display,14,sh1122,SH1122,Sino Wealth,profiled_behavioral,spi,ExternalComponents.Generated.Display_SH1122
display,15,ch1115,CH1115,Jinghong,profiled_behavioral,i2c,ExternalComponents.Generated.Display_CH1115
display,16,uc1609,UC1609,UltraChip,profiled_behavioral,spi,ExternalComponents.Generated.Display_UC1609
display,17,uc1701,UC1701,UltraChip,profiled_behavioral,spi,ExternalComponents.Generated.Display_UC1701
display,18,st7565,ST7565,Sitronix,profiled_behavioral,spi,ExternalComponents.Generated.Display_ST7565
display,19,st7567,ST7567,Sitronix,profiled_behavioral,i2c,ExternalComponents.Generated.Display_ST7567
display,20,st7586,ST7586,Sitronix,profiled_behavioral,spi,ExternalComponents.Generated.Display_ST7586
display,21,pcd8544,PCD8544,NXP,profiled_behavioral,spi,ExternalComponents.Generated.Display_PCD8544
display,22,ks0108,KS0108,Samsung,profiled_behavioral,parallel,ExternalComponents.Generated.Display_KS0108
display,23,t6963c,T6963C,Toshiba,profiled_behavioral,parallel,ExternalComponents.Generated.Display_T6963C
display,24,ra6963,RA6963,RAiO,profiled_behavioral,parallel,ExternalComponents.Generated.Display_RA6963
display,25,sed1335,SED1335,Epson,profiled_behavioral,parallel,ExternalComponents.Generated.Display_SED1335
display,26,s1d13700,S1D13700,Epson,profiled_behavioral,parallel,ExternalComponents.Generated.Display_S1D13700
display,27,ls013b7dh03,LS013B7DH03,Sharp,profiled_behavioral,spi,ExternalComponents.Generated.Display_LS013B7DH03
display,28,ls027b7dh01,LS027B7DH01,Sharp,profiled_behavioral,spi,ExternalComponents.Generated.Display_LS027B7DH01
display,29,ls032b7dd02,LS032B7DD02,Sharp,profiled_behavioral,spi,ExternalComponents.Generated.Display_LS032B7DD02
display,30,il3820,IL3820,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_IL3820
display,31,il0373,IL0373,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_IL0373
display,32,il0398,IL0398,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_IL0398
display,33,ssd1608,SSD1608,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1608
